mouse,0.0333,0.0052,0.6597,2.0006,2.7861,2.9090,5.8301,3.9185,6.0274
mouse,0.0254,0.0051,0.6379,1.9105,3.4146,3.0716,6.5690,4.0552,6.3953
mouse,0.0043,0.0290,0.6699,2.1035,3.0607,3.0174,6.1509,4.0703,6.2827
mouse,0.0007,0.0033,0.7569,2.3968,4.2928,5.2507,10.0233,6.7154,11.2136
mouse,0.0000,0.0001,0.7439,2.1583,5.9507,7.1160,-13.8401,-8.2226,13.7659
mouse,0.0018,0.0103,0.6486,1.7493,3.4836,3.6716,7.3048,4.7742,7.5723
mouse,0.0148,0.0031,0.6899,2.0283,2.8377,3.3165,6.4314,4.3307,6.7920
mouse,0.0070,0.0019,0.7244,2.1166,3.2424,3.9768,7.5925,5.1335,8.3630
knife,0.0205,0.0554,-0.0320,-0.0524,1.9016,1.9471,3.8715,1.9223,6.3580
knife,0.1081,0.0308,0.0021,0.0179,1.3820,1.4342,2.8424,1.4470,4.9098
knife,0.0000,0.1120,0.0440,0.1040,1.8445,1.9137,3.7929,1.9722,5.6297
knife,0.1003,0.0002,-0.0318,-0.0522,1.9450,1.9913,3.9595,1.9677,6.2268
knife,0.1380,0.0002,-0.0458,-0.0807,1.6811,1.7228,3.4248,1.6844,5.7984
knife,0.0258,0.0935,-0.0090,-0.0051,1.5282,1.5733,3.1241,1.5730,5.4264
knife,0.0182,0.1146,-0.0102,-0.0076,1.4823,1.5239,3.0270,1.5218,5.4367
mouse,0.0053,0.0052,0.7677,2.7485,3.3033,4.8090,9.5433,-6.7464,8.8749
mouse,0.0012,0.0006,0.7431,2.1516,4.8776,6.2190,-11.7978,-7.3357,12.2079
mouse,0.0131,0.0111,0.6250,1.6778,3.0111,3.8037,-7.2570,-4.6974,7.5711
key,0.0288,0.0060,0.5879,1.6554,1.9217,2.3435,4.4762,3.1717,6.3677
key,0.0332,0.0127,0.5113,1.2988,1.7922,2.1477,4.1177,2.7972,7.3075
key,0.0059,0.0805,0.5722,1.6181,1.8374,2.2563,4.3032,3.0656,6.1903
key,0.0735,0.0400,0.2787,0.8084,1.2693,2.7428,-4.7518,-3.2091,5.6823
key,0.0201,0.0134,0.3242,0.9378,1.4123,2.9037,5.2817,-3.7589,5.1595
key,0.0030,0.0015,0.7674,3.3011,4.2720,4.7647,9.9002,-6.4258,9.2961
key,0.0108,0.0426,0.5911,1.7660,1.7585,2.0813,4.0016,2.9691,5.3230
key,0.1388,0.0056,0.5063,1.6907,1.4334,1.6989,3.2653,2.5457,4.8749
key,0.0012,0.1093,0.4304,1.0463,1.7285,1.9843,3.8409,2.5079,5.3610
key,0.0072,0.0686,0.6059,1.7633,1.9235,2.3338,4.4635,3.2260,5.6317
key,0.0860,0.0044,0.4842,1.1990,1.8530,2.1932,4.2164,2.7942,5.8524
key,0.1245,0.0520,0.1443,0.4162,0.7770,1.0523,1.9670,1.2624,3.6054
key,0.0182,0.0091,0.6330,1.9570,2.0879,2.5120,4.8119,3.4907,7.3163
controller,0.0059,0.0010,0.6930,2.1280,2.8595,3.8273,-7.1739,-4.8928,8.0874
key,0.0509,0.0058,0.4991,1.2682,1.7500,2.0768,3.9906,2.7180,5.3639
pen,0.1816,0.0614,-0.0981,-0.1869,0.9179,0.9503,1.8844,0.8575,4.2954
pen,0.2994,0.0022,-0.1015,-0.1939,0.9535,0.9851,1.9543,0.8890,4.3551
knife,0.0001,0.0408,0.0024,0.0183,2.6408,2.7810,5.4925,2.8116,6.7670
ball,0.0000,0.0003,0.7981,6.0576,5.7011,10.1659,-18.1521,-13.3327,18.4332
ball,0.0002,0.0000,0.7980,6.2125,6.0395,9.8483,17.7928,13.3577,19.0632
controller,0.0016,0.0001,0.7242,2.2432,3.2874,4.5162,-8.5078,-5.6787,8.6533
controller,0.0018,0.0009,0.6987,2.0522,3.2977,4.4067,-8.2885,-5.4505,8.7067
controller,0.0118,0.0082,0.7105,2.1898,3.0533,4.0603,-7.6719,-5.1856,7.9430
controller,0.0144,0.0129,0.6889,2.1126,2.8212,3.7701,-7.0657,-4.8264,9.2472
figurine,0.0084,0.0040,0.6380,1.7941,2.5261,3.8215,7.0100,4.7187,7.5869
figurine,0.0305,0.0061,0.5717,1.6034,2.2094,3.5154,6.3810,4.3201,7.2916
