airpods,16.2035,11.0695,3.0000
ball,29.4677,19.4569,14.0000
clip,0.7170,0.8160,5.0000
controller,0.1273,0.0829,14.0000
figurine,0.2056,0.1642,15.0000
glove,3.0094,4.3969,12.0000
key,4.4551,4.2561,14.0000
knife,3.3862,3.6867,25.0000
mouse,7.8309,7.8199,12.0000
pen,11.4472,11.5300,21.0000
pepperspray,0.1876,0.0922,3.0000
pouch,10.0108,10.9579,11.0000
shavingblade,1.6726,1.8531,25.0000
